nombre,pos,rank_pos,edad,proj_mercado,g_proj,pg,eg,total_v2,vbd2,espn_id
Troy Dye,LB,77,30,76.8,17.0,4.52,12.2,55.3,-155.4,4038946
Trenton Simpson,LB,78,25,76.4,17.0,4.5,12.2,55.0,-155.7,4430831
Kaden Wetjen,WR,164,24,5.3,17.0,0.31,12.4,3.9,-156.1,5081338
Cole Holcomb,LB,79,30,75.6,17.0,4.45,12.2,54.4,-156.3,3116689
Demetrius Flannigan-Fowles,LB,114,30,21.2,17.0,1.25,9.8,12.2,-156.9,3931424
Arian Smith,WR,165,25,3.8,17.0,0.23,12.4,2.8,-157.1,4429105
Garret Wallow,LB,115,27,20.7,17.0,1.22,9.8,11.9,-157.2,4241807
Kameron Johnson,WR,166,24,2.2,17.0,0.13,12.4,1.6,-158.3,5097554
Emmanuel McNeil-Warren,S,98,22,35.7,17.0,2.1,13.6,28.5,-158.8,4837186
Tyrice Knight,LB,80,26,72.0,17.0,4.23,12.2,51.8,-159.0,4686540
Sydney Brown,S,99,26,34.3,17.0,2.02,13.6,27.4,-159.9,4360386
Chazz Surratt,LB,119,29,15.4,17.0,0.91,9.8,8.9,-160.2,4037521
Kiko Mauigoa,LB,120,23,15.1,17.0,0.89,9.8,8.7,-160.4,4700136
Chad Muma,LB,121,27,14.4,17.0,0.85,9.8,8.3,-160.8,4361707
Marques Sigle,S,101,24,32.7,17.0,1.92,13.6,26.1,-161.3,4693337
Leo Chenal,LB,82,26,68.3,17.0,4.02,12.2,49.2,-161.5,4426901
Malcolm Rodriguez,LB,83,27,68.3,17.0,4.02,12.2,49.2,-161.5,4241411
Jalen Huskey,S,102,23,30.8,17.0,1.81,13.6,24.6,-162.8,4912185
Dane Belton,S,100,26,33.5,17.0,1.97,13.9,27.4,-164.2,4426686
P.J. Locke,S,103,29,29.1,17.0,1.71,13.6,23.3,-164.2,3929850
Joe Andreessen,LB,84,26,64.1,17.0,3.77,12.2,46.1,-164.6,4366349
J.T. Gray,S,104,30,28.6,17.0,1.68,13.6,22.9,-164.6,3115481
Jeremy Reaves,S,105,30,28.2,17.0,1.66,13.6,22.5,-164.8,3125248
Devon Key,S,106,29,27.7,17.0,1.63,13.6,22.1,-165.2,4037559
Nick Mullens,QB,39,31,13.8,17.0,0.81,12.6,10.3,-165.6,3059989
Marte Mapu,LB,85,27,62.5,17.0,3.68,12.2,45.0,-165.7,4248899
Tyson Bagent,QB,40,26,13.3,17.0,0.78,12.6,9.9,-165.9,4434153
Jarrett Stidham,QB,41,30,13.2,17.0,0.78,12.6,9.8,-165.9,3892775
Justin Jefferson,LB,86,23,62.1,17.0,3.65,12.2,44.7,-166.0,5150249
Jake Browning,QB,43,30,13.1,17.0,0.77,12.6,9.8,-166.1,3886812
Tanner McKee,QB,45,26,12.7,17.0,0.75,12.6,9.5,-166.3,4685201
Tommy DeVito,QB,46,28,12.4,17.0,0.73,12.6,9.2,-166.6,4240391
