nombre,pos,rank_pos,edad,pg,eg,total_v2,vbd2,espn_id,p10,p25,p50,p75,p90
Mykel Williams,DE,63,22,2.56,10.9,27.9,-16.3,4685623,7.3,16.6,27.9,39.8,51.4
Otito Ogbonnia,DT,101,26,1.47,10.7,15.7,-16.3,4367210,4.3,9.6,15.9,22.9,30.1
Andrew Mukuba,S,53,24,4.45,11.3,50.4,-16.4,4602197,15.9,32.5,51.2,72.6,96.6
Jonathan Bullard,DT,86,33,1.71,12.9,22.1,-16.5,2980097,9.7,15.3,22.2,29.7,38.4
Chris Godwin Jr.,WR,55,30,9.83,10.2,100.1,-16.6,3116165,17.1,41.5,89.9,165.3,263.5
Rashan Gary,DE,55,29,2.82,13.4,37.7,-16.6,4046523,16.9,26.5,37.7,49.8,62.2
James Pierre,CB,63,30,4.02,13.0,52.5,-16.6,4259252,22.0,37.0,52.8,69.8,90.0
Dalvin Tomlinson,DT,87,32,1.7,12.9,22.0,-16.6,2979860,8.7,15.0,22.1,29.9,38.9
Ryan Fitzgerald,K,28,26,8.45,14.7,124.1,-16.8,4568263,54.9,99.0,131.8,164.7,201.3
Drue Tranquill,LB,40,31,5.86,13.9,81.7,-17.2,3129310,36.5,60.0,83.1,101.9,117.0
Dre'Mont Jones,DE,57,29,2.78,13.4,37.2,-17.2,3915525,16.1,25.9,37.1,48.5,63.6
Kenny Gainwell,RB,35,27,11.24,13.5,151.1,-17.3,4371733,54.4,108.7,156.1,200.5,251.8
Coby Bryant,S,47,27,4.63,13.6,63.0,-17.3,4239094,27.0,46.8,65.8,84.5,108.5
Kamren Kinchens,S,48,24,4.63,13.6,62.9,-17.3,4596363,26.2,44.7,64.2,83.1,108.9
Reed Blankenship,S,49,27,4.61,13.6,62.7,-17.5,4243956,26.9,45.7,65.0,83.3,108.7
Andre Szmyt,K,30,28,8.39,14.7,123.3,-17.6,4258620,58.6,96.9,130.3,162.2,205.3
Arden Key,DE,68,30,2.44,10.9,26.5,-17.7,3843843,7.7,15.8,26.3,37.5,48.6
DJ Reader,DT,88,32,1.62,12.9,20.9,-17.7,2977670,8.8,14.7,21.1,27.8,36.2
Maason Smith,DT,107,24,1.34,10.7,14.3,-17.7,4431567,3.5,8.0,14.3,20.7,27.2
Uchenna Nwosu,DE,59,30,2.73,13.4,36.5,-17.8,3120358,15.6,25.3,36.6,48.3,62.8
Derek Stingley Jr.,CB,64,25,3.93,13.0,51.3,-17.8,4426434,21.0,36.4,52.0,68.3,86.8
Dee Alford,CB,65,29,3.93,13.0,51.2,-17.8,4401823,21.8,37.4,53.0,69.0,87.4
Ja'Quan McMillian,CB,66,26,3.93,13.0,51.2,-17.8,4567462,21.9,36.3,52.9,68.0,85.4
Rock Ya-Sin,CB,67,30,3.93,13.0,51.3,-17.8,3910229,20.5,36.6,53.8,71.9,91.3
Trevin Wallace,LB,47,23,5.26,9.8,51.6,-18.0,4683815,11.4,25.9,49.1,76.0,112.2
Tyleik Williams,DT,89,23,1.59,12.9,20.6,-18.1,4431615,8.6,14.1,20.7,27.6,35.8
Stefon Diggs,WR,52,33,10.21,14.6,148.7,-18.2,2976212,84.4,116.7,153.6,184.5,217.0
Calen Bullock,S,50,23,4.56,13.6,62.0,-18.2,4431517,25.5,44.1,64.0,83.4,107.5
Adetomiwa Adebawore,DT,90,25,1.58,12.9,20.5,-18.2,4427635,8.8,14.2,20.4,27.1,34.4
Cory Durden,DT,91,27,1.57,12.9,20.4,-18.3,4240042,8.6,14.1,20.6,27.7,35.9
Logan Hall,DT,92,26,1.57,12.9,20.4,-18.3,4360189,8.4,14.1,20.7,28.0,35.9
Dalton Schultz,TE,23,30,8.23,12.8,105.4,-18.4,3117256,30.8,59.2,102.4,159.3,237.8
Ruke Orhorhoro,DT,93,25,1.56,12.9,20.2,-18.4,4430271,8.5,14.3,20.7,27.5,34.5
Joey Slye,K,31,30,8.33,14.7,122.4,-18.5,3124084,56.9,94.9,129.1,161.0,200.0
Christian Benford,CB,68,26,3.88,13.0,50.6,-18.5,4379778,20.3,35.5,51.2,68.7,88.0
Solomon Thomas,DT,95,31,1.55,12.9,20.0,-18.6,3117258,9.0,14.4,20.8,27.1,34.6
Panthers D/ST,DST,29,,6.92,17.0,117.6,-18.7,-16029,117.6,117.6,117.6,117.6,117.6
Nahshon Wright,CB,69,28,3.86,13.0,50.4,-18.7,4570470,19.4,34.5,50.8,67.1,85.2
Malachi Lawrence,DE,60,23,2.66,13.4,35.6,-18.8,4710067,35.6,35.6,35.6,35.6,35.6
Cardinals D/ST,DST,30,,6.91,17.0,117.4,-18.9,-16022,117.4,117.4,117.4,117.4,117.4
Malaki Starks,S,51,23,4.51,13.6,61.3,-18.9,4685530,27.0,43.9,63.5,82.4,107.7
Julian Blackmon,S,52,28,4.51,13.6,61.3,-18.9,4035661,61.3,61.3,61.3,61.3,61.3
Leki Fotu,DT,111,28,1.22,10.7,13.0,-18.9,4035666,2.9,7.5,13.3,19.0,25.1
Andre Cisco,S,57,26,4.21,11.3,47.7,-19.1,4361939,14.5,30.2,48.9,69.0,88.3
Garrett Williams,CB,78,25,3.48,10.5,36.5,-19.1,4568506,8.6,20.0,35.7,52.7,68.0
Kayden McDonald,DT,96,21,1.51,12.9,19.5,-19.1,4870893,19.5,19.5,19.5,19.5,19.5
Raiders D/ST,DST,31,,6.89,17.0,117.2,-19.2,-16013,117.2,117.2,117.2,117.2,117.2
Mike Green,DE,61,23,2.63,13.4,35.2,-19.2,4683188,14.6,24.2,35.6,46.4,59.5
Akeem Davis-Gaither,LB,42,29,5.71,13.9,79.5,-19.3,3917142,33.8,56.9,80.0,97.7,110.6
Jordan Elliott,DT,97,29,1.49,12.9,19.3,-19.4,4039052,8.3,13.8,19.6,26.2,33.3
Jason Marshall Jr.,CB,80,24,3.44,10.5,36.0,-19.5,4432730,8.8,20.4,35.6,51.6,67.0
Dante Stills,DT,99,27,1.48,12.9,19.2,-19.5,4362225,8.0,13.1,19.5,25.6,32.8
Derick Hall,DE,62,25,2.6,13.4,34.8,-19.6,4567226,14.4,23.9,34.7,46.0,59.9
Sebastian Joseph-Day,DT,100,31,1.47,12.9,19.0,-19.6,3047495,8.5,13.5,19.3,25.5,33.0
Jonas Sanker,S,54,24,4.45,13.6,60.5,-19.7,4683813,24.8,43.1,62.2,81.9,107.3
Jordan Phillips,DT,102,22,1.46,12.9,18.9,-19.7,4837188,8.2,13.4,19.4,25.6,32.5
C.J. Gardner-Johnson,S,58,29,4.15,11.3,47.0,-19.8,4034953,14.6,29.2,47.8,66.1,86.5
Henry To'oTo'o,LB,44,25,5.47,12.2,67.0,-19.9,4426350,16.8,35.3,64.9,98.3,146.2
John Jenkins,DT,103,37,1.45,12.9,18.7,-19.9,15846,8.4,13.3,19.2,25.4,32.3
Lee Hunter,DT,104,24,1.43,12.9,18.5,-20.1,4431551,18.4,18.4,18.4,18.4,18.4
Romeo Doubs,WR,54,26,9.98,13.8,137.9,-20.4,4361432,46.4,91.1,135.9,183.5,223.7
Antonio Johnson,S,55,25,4.39,13.6,59.7,-20.5,4429168,25.7,43.4,62.3,81.4,105.1
Akheem Mesidor,DE,64,25,2.52,13.4,33.7,-20.6,4429190,33.8,33.8,33.8,33.8,33.8
