nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
Cairo Santos,K,11,167.7,163.1,4.6,17427,3
Tommy Togiai,DT,9,55.3,50.7,4.6,4361366,34
Will Reichard,K,12,167.6,163.1,4.5,4567104,16
Chase McLaughlin,K,13,167.5,163.1,4.4,3150744,27
Nnamdi Madubuike,DT,10,55.0,50.7,4.3,4035245,33
Nick Cross,S,10,103.5,99.3,4.2,4426403,28
Leonard Williams,DT,11,54.9,50.7,4.2,2971622,26
Byron Murphy II,DT,12,54.8,50.7,4.1,4570040,26
Bengals D/ST,DST,14,140.1,136.3,3.8,-16004,4
DeShon Elliott,S,11,102.7,99.3,3.4,3929846,23
Tyler Loop,K,14,166.3,163.1,3.2,4697745,33
Tremaine Edmunds,LB,15,123.8,120.7,3.1,3929950,19
Chamarri Conner,S,12,102.4,99.3,3.1,4361964,12
Jake Bates,K,15,165.9,163.1,2.8,4689936,8
Joshua Metellus,S,13,102.1,99.3,2.8,4046537,16
Christian Watson,WR,35,197.5,194.8,2.7,4248528,9
Jonathan Greenard,DE,13,71.4,68.7,2.7,3916409,21
Jordan Davis,DT,13,53.4,50.7,2.7,4381558,21
Jets D/ST,DST,15,138.8,136.3,2.5,-16020,20
Jadarian Price,RB,25,212.8,210.5,2.3,4685512,26
Matthew Golden,WR,36,197.1,194.8,2.3,4701936,9
Tuli Tuipulotu,DE,14,71.0,68.7,2.3,4431442,24
Packers D/ST,DST,16,138.2,136.3,1.9,-16009,9
Jaquan Brisker,S,14,101.2,99.3,1.9,4570044,23
T.J. Hockenson,TE,15,166.2,164.4,1.8,4036133,16
Roquan Smith,LB,16,122.4,120.7,1.7,3915189,33
Keisean Nixon,CB,12,91.8,90.2,1.6,4259493,9
Alontae Taylor,CB,13,91.6,90.2,1.4,4369835,10
Malcolm Roach,DT,14,52.0,50.7,1.3,4039064,7
Adam Butler,DT,15,52.0,50.7,1.3,2972342,13
Chase Young,DE,15,69.8,68.7,1.1,4241986,18
A.J. Terrell Jr.,CB,14,91.3,90.2,1.1,4239995,1
D.J. Reed,CB,15,91.3,90.2,1.1,3139387,8
Trey Smack,K,16,164.1,163.1,1.0,4869461,9
Malik Mustapha,S,15,100.3,99.3,1.0,4696211,25
Jalen Thompson,S,16,100.3,99.3,1.0,4043089,6
Zyon McCollum,CB,16,91.2,90.2,1.0,4250392,27
Isaiah Likely,TE,16,165.2,164.4,0.8,4361050,19
Jalen Carter,DT,16,51.4,50.7,0.7,4685759,21
Mike Evans,WR,37,195.1,194.8,0.3,16737,25
DeMarcus Lawrence,DE,16,69.0,68.7,0.3,16802,26
David Montgomery,RB,26,210.5,210.5,0.0,4035538,34
Parker Washington,WR,38,194.8,194.8,0.0,4432620,30
Fernando Mendoza,QB,30,237.2,237.2,0.0,4837248,13
Dalton Kincaid,TE,17,164.4,164.4,0.0,4385690,2
Evan McPherson,K,17,163.1,163.1,0.0,4360234,4
Buccaneers D/ST,DST,17,136.3,136.3,0.0,-16027,27
Robert Spillane,LB,17,120.7,120.7,0.0,3129446,17
Jared Verse,DE,17,68.7,68.7,0.0,4578085,5
Antoine Winfield Jr.,S,17,99.3,99.3,0.0,4034790,27
Kool-Aid McKinstry,CB,17,90.2,90.2,0.0,4433975,18
A'Shawn Robinson,DT,17,50.7,50.7,0.0,3054857,27
Milton Williams,DT,18,50.6,50.7,-0.1,4239699,17
Tony Pollard,RB,27,210.3,210.5,-0.2,3916148,10
Dax Hill,CB,18,90.0,90.2,-0.2,4426422,4
Marlon Humphrey,CB,19,89.9,90.2,-0.3,3126356,33
Barrett Carter,LB,18,119.5,120.7,-1.2,4431519,4
Nick Scott,S,18,98.0,99.3,-1.3,3116179,29
Colts D/ST,DST,18,134.8,136.3,-1.5,-16011,11
Nik Bonitto,DE,18,67.2,68.7,-1.5,4360259,7
T.J. Edwards,LB,19,119.1,120.7,-1.6,3121544,3
